timestamp,timestamp_local,local_date,local_hour,hour_idx,forecast_run_date,forecast_step,solar_power,da_price,rt_price,ssrd_accum,tsr_accum,dSSRD,dTSR
2013-03-26 22:00:00+00:00,2013-03-27 09:00:00+11:00,2013-03-27,9,0,2013-03-26 00:00:00+00:00,22,0.266217949,29.49,29.15,15963443.0,18538432.0,795968.0,980480.0
2013-03-26 23:00:00+00:00,2013-03-27 10:00:00+11:00,2013-03-27,10,1,2013-03-26 00:00:00+00:00,23,0.586346154,28.03,32.01,17514944.0,20322576.0,1551501.0,1784144.0
2013-03-27 00:00:00+00:00,2013-03-27 11:00:00+11:00,2013-03-27,11,2,2013-03-26 00:00:00+00:00,24,0.696089744,29.2,30.77,19725088.0,22787008.0,2210144.0,2464432.0
2013-03-27 01:00:00+00:00,2013-03-27 12:00:00+11:00,2013-03-27,12,3,2013-03-27 00:00:00+00:00,1,0.699358974,27.25,27.7,2673986.0,2970962.0,2673986.0,2970962.0
2013-03-27 02:00:00+00:00,2013-03-27 13:00:00+11:00,2013-03-27,13,4,2013-03-27 00:00:00+00:00,2,0.793653846,27.29,27.87,5092068.0,5802410.0,2418082.0,2831448.0
2013-03-27 03:00:00+00:00,2013-03-27 14:00:00+11:00,2013-03-27,14,5,2013-03-27 00:00:00+00:00,3,0.705128205,27.36,26.34,7195256.0,8361529.0,2103188.0,2559119.0
2013-03-27 04:00:00+00:00,2013-03-27 15:00:00+11:00,2013-03-27,15,6,2013-03-27 00:00:00+00:00,4,0.590512821,29.07,35.14,9776184.0,11269730.0,2580928.0,2908201.0
2013-03-27 05:00:00+00:00,2013-03-27 16:00:00+11:00,2013-03-27,16,7,2013-03-27 00:00:00+00:00,5,0.424807692,34.07,30.59,11860858.0,13698104.0,2084674.0,2428374.0
2013-03-27 06:00:00+00:00,2013-03-27 17:00:00+11:00,2013-03-27,17,8,2013-03-27 00:00:00+00:00,6,0.247051282,44.83,33.13,13495741.0,15626977.0,1634883.0,1928873.0
2013-03-27 07:00:00+00:00,2013-03-27 18:00:00+11:00,2013-03-27,18,9,2013-03-27 00:00:00+00:00,7,0.073012821,45.87,34.32,14455207.0,16829888.0,959466.0,1202911.0
2013-03-27 08:00:00+00:00,2013-03-27 19:00:00+11:00,2013-03-27,19,10,2013-03-27 00:00:00+00:00,8,0.017371795,46.46,49.68,14702507.0,17213856.0,247300.0,383968.0
2013-03-27 09:00:00+00:00,2013-03-27 20:00:00+11:00,2013-03-27,20,11,2013-03-27 00:00:00+00:00,9,0.000320513,45.23,36.9,14702507.0,17213856.0,0.0,0.0
2013-03-27 22:00:00+00:00,2013-03-28 09:00:00+11:00,2013-03-28,9,0,2013-03-27 00:00:00+00:00,22,0.203269231,27.55,24.68,15297876.0,18135568.0,492678.0,742672.0
2013-03-27 23:00:00+00:00,2013-03-28 10:00:00+11:00,2013-03-28,10,1,2013-03-27 00:00:00+00:00,23,0.454038462,26.78,24.25,16170255.0,19407200.0,872379.0,1271632.0
2013-03-28 00:00:00+00:00,2013-03-28 11:00:00+11:00,2013-03-28,11,2,2013-03-27 00:00:00+00:00,24,0.331858974,27.41,25.01,17571552.0,21259088.0,1401297.0,1851888.0
2013-03-28 01:00:00+00:00,2013-03-28 12:00:00+11:00,2013-03-28,12,3,2013-03-28 00:00:00+00:00,1,0.445512821,26.18,24.54,2064296.0,2541705.0,2064296.0,2541705.0
2013-03-28 02:00:00+00:00,2013-03-28 13:00:00+11:00,2013-03-28,13,4,2013-03-28 00:00:00+00:00,2,0.387820513,25.46,25.24,3813602.0,4914277.0,1749306.0,2372572.0
2013-03-28 03:00:00+00:00,2013-03-28 14:00:00+11:00,2013-03-28,14,5,2013-03-28 00:00:00+00:00,3,0.388525641,25.78,25.28,5133255.0,6970257.0,1319653.0,2055980.0
2013-03-28 04:00:00+00:00,2013-03-28 15:00:00+11:00,2013-03-28,15,6,2013-03-28 00:00:00+00:00,4,0.22025641,27.15,25.44,6376889.0,8812217.0,1243634.0,1841960.0
2013-03-28 05:00:00+00:00,2013-03-28 16:00:00+11:00,2013-03-28,16,7,2013-03-28 00:00:00+00:00,5,0.086602564,33.25,29.67,6901908.0,10041654.0,525019.0,1229437.0
2013-03-28 06:00:00+00:00,2013-03-28 17:00:00+11:00,2013-03-28,17,8,2013-03-28 00:00:00+00:00,6,0.045,42.16,61.96,7106671.0,10821177.0,204763.0,779523.0
2013-03-28 07:00:00+00:00,2013-03-28 18:00:00+11:00,2013-03-28,18,9,2013-03-28 00:00:00+00:00,7,0.030576923,45.41,42.73,7330604.0,11405879.0,223933.0,584702.0
2013-03-28 08:00:00+00:00,2013-03-28 19:00:00+11:00,2013-03-28,19,10,2013-03-28 00:00:00+00:00,8,0.02025641,44.68,35.27,7421581.0,11613376.0,90977.0,207497.0
2013-03-28 09:00:00+00:00,2013-03-28 20:00:00+11:00,2013-03-28,20,11,2013-03-28 00:00:00+00:00,9,0.000192308,42.32,52.61,7421581.0,11613376.0,0.0,0.0
2013-03-28 22:00:00+00:00,2013-03-29 09:00:00+11:00,2013-03-29,9,0,2013-03-28 00:00:00+00:00,22,0.289423077,27.56,22.37,8347241.0,12728149.0,811765.0,943926.0
2013-03-28 23:00:00+00:00,2013-03-29 10:00:00+11:00,2013-03-29,10,1,2013-03-28 00:00:00+00:00,23,0.661923077,27.25,22.58,9937990.0,14464743.0,1590749.0,1736594.0
2013-03-29 00:00:00+00:00,2013-03-29 11:00:00+11:00,2013-03-29,11,2,2013-03-28 00:00:00+00:00,24,0.814358974,27.26,23.54,12204512.0,16871984.0,2266522.0,2407241.0
2013-03-29 01:00:00+00:00,2013-03-29 12:00:00+11:00,2013-03-29,12,3,2013-03-29 00:00:00+00:00,1,0.86224359,25.28,21.77,2756863.0,2900584.0,2756863.0,2900584.0
2013-03-29 02:00:00+00:00,2013-03-29 13:00:00+11:00,2013-03-29,13,4,2013-03-29 00:00:00+00:00,2,0.837371795,24.32,22.67,5787863.0,6073671.0,3031000.0,3173087.0
2013-03-29 03:00:00+00:00,2013-03-29 14:00:00+11:00,2013-03-29,14,5,2013-03-29 00:00:00+00:00,3,0.762820513,24.09,22.2,8841874.0,9281767.0,3054011.0,3208096.0
2013-03-29 04:00:00+00:00,2013-03-29 15:00:00+11:00,2013-03-29,15,6,2013-03-29 00:00:00+00:00,4,0.650192308,24.84,24.72,11668430.0,12283118.0,2826556.0,3001351.0
2013-03-29 05:00:00+00:00,2013-03-29 16:00:00+11:00,2013-03-29,16,7,2013-03-29 00:00:00+00:00,5,0.484807692,27.71,31.28,14043065.0,14850090.0,2374635.0,2566972.0
2013-03-29 06:00:00+00:00,2013-03-29 17:00:00+11:00,2013-03-29,17,8,2013-03-29 00:00:00+00:00,6,0.265064103,33.8,32.89,15782709.0,16785888.0,1739644.0,1935798.0
2013-03-29 07:00:00+00:00,2013-03-29 18:00:00+11:00,2013-03-29,18,9,2013-03-29 00:00:00+00:00,7,0.063589744,36.41,28.29,16764575.0,17948240.0,981866.0,1162352.0
2013-03-29 08:00:00+00:00,2013-03-29 19:00:00+11:00,2013-03-29,19,10,2013-03-29 00:00:00+00:00,8,0.013717949,37.87,37.66,16995104.0,18287952.0,230529.0,339712.0
